Country,ISO3,TA6 Data,Key Code,TA6 Changes (1990 - 2016),Symbol,,,,,,,,
Morocco,MAR,77.2354086152,2,66.3556316083,1,,,,,,,,
Mozambique,MOZ,27.7126814811,5,26.6785762898,0,,,,,,,,
Myanmar,MMR,72.4229892739,2,56.2019517829,1,,,,,,,,
Namibia,NAM,37.356579903,4,-5.57891834949,0,,,,,,,,
Nauru,NRU,,,,0,,,,,,,,
Nepal,NPL,64.4386989282,3,115.949214753,1,,,,,,,,
Netherlands,NLD,89.4872081466,2,-1.83677257274,0,,,,,,,,
New Zealand,NZL,91.5034510398,1,3.8586933867,0,,,,,,,,
Nicaragua,NIC,78.9556209002,2,84.2622916417,1,,,,,,,,
Niger,NER,26.3110559232,5,81.5561978833,1,,,,,,,,
Nigeria,NGA,22.8301645322,5,21.0185014416,0,,,,,,,,
Niue,NIU,,,,0,,,,,,,,
Norway,NOR,89.0578446171,2,1.85189280631,0,,,,,,,,
Oman,OMN,69.92147142,3,31.1260040789,0,,,,,,,,
Pakistan,PAK,63.7968439446,3,72.2551148273,1,,,,,,,,
Palau,PLW,,,,0,,,,,,,,
Panama,PAN,76.7593898321,2,11.3947415838,0,,,,,,,,
Papua New Guinea,PNG,64.9714329372,3,29.8868075392,0,,,,,,,,
Paraguay,PRY,77.5122809008,2,25.2044436477,0,,,,,,,,
Peru,PER,68.6218000039,3,56.7724834779,1,,,,,,,,
Philippines,PHL,69.2506704148,3,51.5192395343999,1,,,,,,,,
Poland,POL,91.1536117585999,1,2.73764294577,0,,,,,,,,
Portugal,PRT,88.9520452090999,2,1.88527782425,0,,,,,,,,
Qatar,QAT,62.6505854799,3,-4.87876331732,0,,,,,,,,
Rep. Korea,KOR,84.4986413024,2,6.94466243219,0,,,,,,,,
Rep. Moldova,MDA,,,,0,,,,,,,,
Romania,ROU,93.0779428406,1,6.4165020512,0,,,,,,,,
Russian Federation,RUS,87.2559370935,2,2.79616136656,0,,,,,,,,
Rwanda,RWA,38.3706732252,4,95.4717264197999,1,,,,,,,,
S. Africa,ZAF,41.5802227621,4,-1.08831434502,0,,,,,,,,
S. Sudan,SSD,23.6823892274,5,61.8101111021,1,,,,,,,,
Samoa,WSM,81.3909839862,2,16.6609805271,0,,,,,,,,
San Marino,SMR,,,,0,,,,,,,,
Sao Tome and Principe,STP,60.8698089565,3,38.852401011,0,,,,,,,,
Saudi Arabia,SAU,73.8928748105999,2,39.7351467784,0,,,,,,,,
Senegal,SEN,45.0373522545,4,67.8889203965,1,,,,,,,,
Serbia,SRB,94.0692680164,1,4.09587700253,0,,,,,,,,
Seychelles,SYC,79.4753583879999,2,7.49002564732,0,,,,,,,,
Sierra Leone,SLE,31.8446032367,4,36.2896412872,0,,,,,,,,
Singapore,SGP,83.0149588367,2,2.56212058238,0,,,,,,,,
Slovakia,SVK,91.1411122288,1,4.44642781182,0,,,,,,,,
Slovenia,SVN,90.0456055735,1,4.41900422248,0,,,,,,,,
Solomon Islands,SLB,74.241570572,2,30.39998589,0,,,,,,,,
Somalia,SOM,33.5662772098,4,18.1710648269,0,,,,,,,,
Spain,ESP,92.8561492688,1,2.98474139874,0,,,,,,,,
Sri Lanka,LKA,81.4637311614,2,36.1867116555,0,,,,,,,,
St. Kitts and Nevis,KNA,,,,0,,,,,,,,
St. Lucia,LCA,82.5743366137,2,5.8849171437,0,,,,,,,,
St. Vincent and the Grenadines,VCT,81.3889118314,2,7.12263910263999,0,,,,,,,,
Sudan,SDN,60.1497781593,3,41.9407976276,0,,,,,,,,
Suriname,SUR,75.6746354383999,2,17.3727631992,0,,,,,,,,
Swaziland,SWZ,33.6479585023,4,-16.2231174375,0,,,,,,,,
Sweden,SWE,90.7226293017,1,0.783776002693,0,,,,,,,,
Switz.,CHE,90.3817681499,1,4.20737008878,0,,,,,,,,
Syrian Arab Rep.,SYR,48.2454919564,4,-30.2457264276,0,,,,,,,,
Tajikistan,TJK,66.0096738222,3,36.6762127946,0,,,,,,,,
Thailand,THA,75.4971733988,2,23.2389146062,0,,,,,,,,
Timor-Leste,TLS,62.0949247035999,3,140.724511365,1,,,,,,,,
Togo,TGO,37.4994888331,4,30.8627543995,0,,,,,,,,
Tonga,TON,79.2077437735,2,15.8346620713,0,,,,,,,,
Trinidad and Tobago,TTO,83.7822774764,2,6.58504365419,0,,,,,,,,
Tunisia,TUN,85.670439562,2,21.9300441545,0,,,,,,,,
Turkey,TUR,88.056807581,2,30.5348124524,0,,,,,,,,
Turkmenistan,TKM,80.2845174143,2,43.7070898015,0,,,,,,,,
Tuvalu,TUV,,,,0,,,,,,,,
UAE,ARE,69.909043498,3,11.2169390917,0,,,,,,,,
Uganda,UGA,29.3698935068,5,55.7480809813,1,,,,,,,,
Ukraine,UKR,91.2526249471,1,2.4443476582,0,,,,,,,,
United Kingdom,GBR,89.1685843253,2,-1.18220354893,0,,,,,,,,
United Republic of Tanzania,TZA,36.1332163102,4,63.8685690364,1,,,,,,,,
United States of America,USA,88.5085265459,2,1.83395508394,0,,,,,,,,
Uruguay,URY,85.5082652373,2,-1.30102847075,0,,,,,,,,
Uzbekistan,UZB,82.343837223,2,25.0725318329,0,,,,,,,,
Vanuatu,VUT,74.3703618751,2,22.287390277,0,,,,,,,,
Venezuela,VEN,72.1027873787,2,14.1397930483,0,,,,,,,,
Viet Nam,VNM,80.4862836343,2,27.4166320433,0,,,,,,,,
West Bank/Gaza Strip,PSE,,,,0,,,,,,,,
World,WLD,72.26808265,2,24.796162851,0,,,,,,,,
Yemen,YEM,50.6035795519,3,35.2192342657,0,,,,,,,,
Zambia,ZMB,31.6090119312,4,80.8797773684,1,,,,,,,,
Zimbabwe,ZWE,35.6191984594,4,12.624789523,0,,,,,,,,
