COUNTRY,ISO3 CODE,REGION,INCOME GROUP,2015 HDI,2016 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2016 price key,2014 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2014 price key,2012 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2012 price key,2010 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2010 price key,2008 price of 20-cigarette pack of the most-sold brand in US dollars; adjusted for purchasing power of national currencies,2008 price key,2016 total excise tax as a % of price of the most sold brand,2016 tax key,2014 total excise tax as a % of price of the most sold brand,2014 tax key,2012 total excise tax as a % of price of the most sold brand,2012 tax key,2010 total excise tax as a % of price of the most sold brand,2010 tax key,2008 total excise tax as a % of price of the most sold brand,2008 tax key,2016 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2016 afford key,2014 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2014 afford key,2012 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2012 afford key,2010 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2010 afford key,2008 affordability of cigarettes;  % of GDP per capita required to purchase 2000 cigarettes of the most popular brand,2008 afford key
Czech Rep.,CZE,EURO,HIGH,0.878,6.28,4,5.34,3,5.07,3,4.58,3,3.82,2,0.601,5,0.6006,5,0.6094,5,0.6197,6,0.6687000000000001,6,0.0188,2,0.0175,2,0.0176,2,0.0167,2,0.0137,1
Germany,DEU,EURO,HIGH,0.926,7.62,4,7.04,4,6.79,4,6.29,4,6.02,4,0.5442,5,0.5693,5,0.5706,5,0.5809,5,0.5981,5,0.0158,2,0.0152,2,0.0153,2,0.0154,2,0.0148,1
Djibouti,DJI,EMRO,MIDDLE,0.473,1.99,1,2.04,2,2.08,2,2.19,2,2.04,2,0.263,3,0.2634,3,0.2634,3,0.2551,3,0.2407,3,0.059,4,0.0666,4,0.0739,4,0.0861,5,0.082,5
Dominica,DMA,PAHO,MIDDLE,0.726,2.47,2,2.37,2,2.37,2,1.87,1,1.99,1,0.1126,2,0.1035,2,0.1035,2,0.1257,2,0.1257,2,0.0217,2,0.0211,2,0.0229,2,0.0186,2,0.0201,2
Denmark,DNK,EURO,HIGH,0.925,5.77,3,5.74,3,5.16,3,4.75,3,4.18,3,0.5475,5,0.5475,5,0.5933,5,0.5484,5,0.5339,5,0.0122,1,0.0125,1,0.0118,1,0.0113,1,0.0097,1
Dominican Rep.,DOM,PAHO,MIDDLE,0.722,7.28,4,7.47,4,6.52,4,6.59,4,5.88,3,0.41960000000000003,4,0.43620000000000003,4,0.4479,4,0.4332,4,0.4324,4,0.0455,3,0.0522,3,0.0528,3,0.0574,4,0.0558,4
Algeria,DZA,AFRO,MIDDLE,0.745,4.62,3,2.73,2,2.63,2,3.22,2,2.68,2,0.297,3,0.3814,4,0.3814,4,0.3579,4,0.3917,4,0.0313,2,0.0193,2,0.0197,2,0.0255,2,0.0219,2
Ecuador,ECU,PAHO,MIDDLE,0.739,9.58,5,5.59,3,4.8,3,3.35,2,3.55,2,0.6154,6,0.5968,5,0.6231,6,0.5357,5,0.5357,5,0.0877,5,0.0486,3,0.0459,3,0.0367,3,0.0398,3
Egypt,EGY,EMRO,MIDDLE,0.691,3.98,2,3.8,2,3.35,2,2.69,2,2.22,2,0.735,6,0.7313000000000001,6,0.725,6,0.7375,6,0.5927,5,0.0333,2,0.0326,2,0.0295,2,0.0248,2,0.022,2
Eritrea,ERI,AFRO,LOW,0.42,11.14,6,7.94,4,6.2,4,5.62,3,6.63,4,0.4464,4,0.4464,4,0.4464,4,0.4464,4,0.4464,4,0.7902,5,0.5868,5,0.4804,5,0.4932,5,0.5908,5
Spain,ESP,EURO,HIGH,0.884,7.3,4,7.15,4,6.49,4,4.72,3,3.42,2,0.6094,5,0.6104,6,0.6344000000000001,6,0.6299999999999999,6,0.6355999999999999,6,0.0202,2,0.0215,2,0.0202,2,0.0146,1,0.0103,1
Estonia,EST,EURO,HIGH,0.865,7,4,6.46,4,5.86,3,3.53,2,3.49,2,0.6053,5,0.6057,5,0.6021000000000001,5,0.6591,6,0.6208,6,0.0238,2,0.0233,2,0.0229,2,0.0185,2,0.0167,2
Ethiopia,ETH,AFRO,LOW,0.448,1.8,1,2.06,2,1.24,1,1.67,1,1.29,1,0.139,2,0.139,2,0.2543,3,0.2906,3,0.1857,3,0.0895,5,0.1249,5,0.0916,5,0.1504,5,0.1397,5
Finland,FIN,EURO,HIGH,0.895,6.57,4,5.95,3,5.34,3,4.88,3,4.89,3,0.6556,6,0.6218,6,0.6118,6,0.5995,5,0.5888,5,0.0157,2,0.0146,1,0.0132,1,0.0126,1,0.012,1
Fiji,FJI,WPRO,MIDDLE,0.736,10.31,6,6.98,4,6.78,4,,,4.9,3,0.3025,3,0.3105,4,0.2779,3,,,0.3847,4,0.1107,5,0.082,5,0.0885,5,,,0.0667,4
France,FRA,EURO,HIGH,0.897,8.6,5,8.52,5,7.39,4,6.56,4,6.16,4,0.6363,6,0.6363,6,0.6346999999999999,6,0.64,6,0.64,6,0.0203,2,0.0209,2,0.0188,2,0.0176,2,0.0165,2
Fed. States of Micronesia,FSM,WPRO,MIDDLE,0.638,2.41,2,2.02,2,1.93,1,1.52,1,1.61,1,0,1,0,1,0,1,0,1,0,1,0.0794,5,0.0681,4,0.0626,4,0.0519,3,0.0592,4
Gabon,GAB,AFRO,MIDDLE,0.697,4.22,3,3.67,2,3.3,2,3.47,2,3.35,2,0.116,2,0.0779,2,0.0779,2,0.0864,2,0.0768,2,0.0222,2,0.0203,2,0.0198,2,0.0226,2,0.0215,2
United Kingdom,GBR,EURO,HIGH,0.91,11.98,6,10.78,6,9.48,5,9,5,8.21,5,0.6383,6,0.6549,6,0.6345,6,0.6185,6,0.6353,6,0.0281,2,0.0266,2,0.0251,2,0.0251,2,0.0224,2
Georgia,GEO,EURO,MIDDLE,0.769,2.76,2,2.59,2,2.23,2,2.25,2,2.34,2,0.54,5,0.3409,4,0.3158,4,0.3333,4,0.3333,4,0.0275,2,0.0281,2,0.0279,2,0.0342,2,0.0382,3
Ghana,GHA,AFRO,MIDDLE,0.579,3.61,2,2.42,2,2.53,2,3.19,2,3.16,2,0.1302,2,0.132,2,0.0968,2,0.0903,2,0.1333,2,0.0813,5,0.0578,4,0.0662,4,0.1029,5,0.112,5
Guinea,GIN,AFRO,LOW,0.414,0.97,1,,,1.07,1,0.93,1,1.17,1,0.0388,2,,,0.0271,2,0.0329,2,0.0251,2,0.0759,5,,,0.0868,5,0.0802,5,0.0993,5
Gambia,GMB,AFRO,LOW,0.452,3.21,2,2.7,2,1.47,1,1.02,1,1.1,1,0.375,4,0.3,3,0.22,3,0.3,3,0.3,3,0.1946,5,0.1664,5,0.0929,5,0.0635,4,0.074,4
Guinea-Bissau,GNB,AFRO,LOW,0.424,2.07,2,1.39,1,1.4,1,1.52,1,1.5,1,0.0353,2,0.0318,2,0.0227,2,0.0227,2,0.0227,2,0.1215,5,0.0918,5,0.0906,5,0.1042,5,0.1098,5
Equatorial Guinea,GNQ,AFRO,MIDDLE,0.592,2.32,2,1.75,1,1.65,1,1.95,1,1.89,1,0.2597,3,0.255,3,0.2403,3,0.1964,3,0.1388,2,0.006,1,0.0037,1,0.0032,1,0.0043,1,0.0037,1
Greece,GRC,EURO,HIGH,0.866,6.62,4,6.4,4,5.46,3,4.56,3,4.33,3,0.6125,6,0.6125,6,0.6345999999999999,6,0.67,6,0.575,5,0.0247,2,0.0246,2,0.0215,2,0.0157,2,0.0137,1
Grenada,GRD,PAHO,MIDDLE,0.754,4.68,3,4.11,3,,,4.13,3,3.26,2,0.318,4,0.3276,4,,,0.347,4,0,1,0.0332,2,0.0324,2,,,0.0377,3,0.028,2
Guatemala,GTM,PAHO,MIDDLE,0.64,4.12,3,4.22,3,3.81,2,3.93,2,3.08,2,0.3827,4,0.3827,4,0.3827,4,0.4107,4,0.4107,4,0.0521,3,0.0559,4,0.0536,3,0.0587,4,0.0463,3
Guyana,GUY,PAHO,MIDDLE,0.638,2.97,2,2.62,2,2.52,2,2.78,2,2.38,2,0.1089,2,0.114,2,0.114,2,0.114,2,0.1425,2,0.0379,3,0.0361,3,0.039,3,0.0491,3,0.0459,3
Hong Kong,HKG,,HIGH,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,PAHO,MIDDLE,0.625,3.95,2,3.45,2,3.31,2,2.88,2,2.12,2,0.1906,3,0.2151,3,0.2099,3,0.2593,3,0.322,4,0.0734,4,0.0691,4,0.0714,4,0.0677,4,0.0498,3
Croatia,HRV,EURO,HIGH,0.827,6.64,4,6.22,4,5.27,3,4.72,3,3.99,2,0.5717,5,0.5526,5,0.51,5,0.53,5,0.4267,4,0.0292,2,0.0297,2,0.0258,2,0.0242,2,0.0191,2
Haiti,HTI,PAHO,LOW,0.493,3.36,2,,,,,,,,,0.0826,2,,,,,,,,,0.1881,5,,,,,,,,
Hungary,HUN,EURO,HIGH,0.836,8.78,5,7.73,4,6.03,4,4.94,3,4.8,3,0.5226,5,0.56,5,0.624,6,0.5892999999999999,5,0.5738,5,0.032,2,0.0305,2,0.0263,2,0.0226,2,0.0211,2
Indonesia,IDN,SEARO,MIDDLE,0.689,5.23,3,4.67,3,4.54,3,3.83,2,4.07,3,0.4874,5,0.45,4,0.426,4,0.4571,4,0.4424,4,0.0452,3,0.0437,3,0.0475,3,0.0454,3,0.0533,3
India,IND,SEARO,MIDDLE,0.624,9.17,5,8.13,5,6.12,4,4.78,3,4.49,3,0.2646,3,0.24630000000000002,3,0.251,3,0.28519999999999995,3,0.2909,3,0.1362,5,0.1416,5,0.1225,5,0.1075,5,0.1197,5
Ireland,IRL,EURO,HIGH,0.923,12.69,6,11.88,6,10.91,6,10.49,6,8.86,5,0.5956,5,0.591,5,0.6027,5,0.6115999999999999,6,0.6183,6,0.0191,2,0.023,2,0.0238,2,0.0234,2,0.0194,2
Isl. Rep. of Iran,IRN,EMRO,MIDDLE,0.774,2.03,2,1.85,1,2.15,2,1.26,1,1.45,1,0.1111,2,0,1,0,1,0,1,0,1,0.0111,1,0.0107,1,0.0128,1,0.0073,1,0.0091,1
Iraq,IRQ,EMRO,MIDDLE,0.649,3.23,2,1.04,1,0.96,1,1.77,1,1.63,1,0.4145,4,0,1,0,1,0,1,0,1,0.0183,2,0.0063,1,0.0064,1,0.0143,1,0.0141,1
Iceland,ISL,EURO,HIGH,0.921,8.57,5,8.79,5,7.37,4,6.8,4,5.63,3,0.3618,4,0.3608,4,0.3664,4,0.3613,4,0.3865,4,0.0176,2,0.02,2,0.0181,2,0.0177,2,0.0137,1
Israel,ISR,EURO,HIGH,0.899,8.84,5,7.48,4,5.72,3,5.31,3,4.96,3,0.6837,6,0.6903,6,0.6936,6,0.6797,6,0.5868000000000001,5,0.0249,2,0.0223,2,0.0183,2,0.0183,2,0.0179,2
Italy,ITA,EURO,HIGH,0.887,6.96,4,6.62,4,6.54,4,4.79,3,4.67,3,0.5791,5,0.5765,5,0.5781999999999999,5,0.585,5,0.585,5,0.0189,2,0.0187,2,0.0184,2,0.0136,1,0.0129,1
