COUNTRY,ISO3CODE,REGION,INCOME GROUP,2015 HDI,CESSATION INDEX,Officially identified person in government or contracted by government  who is responsible for tobacco dependence treatment,Clearly identified budget for tobacco dependence treatment,Official national tobacco treatment guidelines,Mass media campaigns promoting cessation,Offers help to healthcare workers and other relevant groups to stop using tobacco ,Mandatory record of patients’ tobacco use in medical notes,"Free, national telephone tobacco quitline",Specialised tobacco dependence treatment services (experts or units/clinics) offering individual or group support delivered by trained professionals,Nilan et al Data Total,Key Code
Jordan,JOR,EMRO,MIDDLE,0.742,4,1,0,1,0,0,0,0,0.5,2.5,2
Kazakhstan,KAZ,EURO,MIDDLE,0.794,4,0,0,0,0,1,0,0,1,2,1
Kenya,KEN,AFRO,MIDDLE,0.555,4,0,0,0,1,1,0,1,0,3,2
Kiribati,KIR,WPRO,MIDDLE,0.588,4,1,0,0,0,0,0,0,0,1,1
Kuwait,KWT,EMRO,HIGH,0.8,5,,,,,,,,,,
Kyrgyzstan,KGZ,EURO,MIDDLE,0.664,4,1,0,1,1,0,1,0,0.5,4.5,3
LAO PDR,LAO,WPRO,MIDDLE,0.586,2,0,0,0,0,0,1,0,0,1,1
Latvia,LVA,EURO,HIGH,0.83,4,0,0,0,1,0,0,0.5,0.5,2,1
Lebanon,LBN,EMRO,MIDDLE,0.763,4,1,0,0,0,0,0,0,0.5,1.5,1
Lesotho,LSO,AFRO,MIDDLE,0.497,4,,,,,,,,,,
Liberia,LBR,AFRO,LOW,0.427,3,,,,,,,,,,
Libyan Arab Jamahiriya,LBY,EMRO,MIDDLE,0.716,4,,,,,,,,,,
Lithuania,LTU,EURO,HIGH,0.848,4,0,0,0,0,0,0,0,0.5,0.5,1
Lux. ,LUX,EURO,HIGH,0.898,5,1,1,0,1,1,1,0,1,6,3
Madagascar,MDG,AFRO,LOW,0.512,3,0,0,0,1,0,1,0,0,2,1
Malawi,MWI,AFRO,LOW,0.476,2,,,,,,,,,,
Malaysia,MYS,WPRO,MIDDLE,0.789,4,1,0,1,1,1,0,0.5,1,5.5,3
Maldives,MDV,SEARO,MIDDLE,0.701,4,,,,,,,,,,
