COUNTRY,ISO3 CODE,REGION,INCOME GROUP,2015 HDI,"PRICE OF A 20-CIGARETTE PACK OF THE MOST-SOLD BRAND, US DOLLARS (adjusted for purchasing power of national currencies)"
Namibia,NAM,AFRO,HIGH,0.64,7.3
Niger,NER,AFRO,LOW,0.353,2.27
Nigeria,NGA,AFRO,MIDDLE,0.527,2.26
Nicaragua,NIC,PAHO,MIDDLE,0.645,4.36
Niue,NIU,WPRO,,,. . .
Netherlands,NLD,EURO,HIGH,0.924,8.33
Norway,NOR,EURO,HIGH,0.949,12.46
Nepal,NPL,SEARO,LOW,0.558,5.73
Nauru,NRU,WPRO,HIGH,,11.82
New Zealand,NZL,WPRO,HIGH,0.915,14.69
Oman,OMN,EMRO,HIGH,0.796,7.52
Pakistan,PAK,EMRO,MIDDLE,0.55,2.24
Panama,PAN,PAHO,MIDDLE,0.788,7.17
Peru,PER,PAHO,MIDDLE,0.74,6.63
Philippines,PHL,WPRO,MIDDLE,0.682,2.25
Palau,PLW,WPRO,MIDDLE,0.788,6.28
Papua New Guinea,PNG,WPRO,MIDDLE,0.516,9.81
Poland,POL,EURO,HIGH,0.855,8.37
DPR Korea,PRK,SEARO,LOW,,. . .
Portugal,PRT,EURO,HIGH,0.843,7.73
Paraguay,PRY,PAHO,MIDDLE,0.693,0.83
West Bank/Gaza Strip,PSE,,MIDDLE,,. . .
Qatar,QAT,EMRO,HIGH,0.856,5.87
Romania,ROU,EURO,MIDDLE,0.802,9.37
Russian Federation,RUS,EURO,MIDDLE,0.804,4.6
Rwanda,RWA,AFRO,LOW,0.498,1.36
Saudi Arabia,SAU,EMRO,HIGH,0.847,8.69
Sudan,SDN,EMRO,MIDDLE,0.49,6.14
Senegal,SEN,AFRO,LOW,0.494,2.27
Singapore,SGP,WPRO,HIGH,0.925,15.66
Solomon Islands,SLB,WPRO,MIDDLE,0.515,3.94
Sierra Leone,SLE,AFRO,LOW,0.42,1.44
El Salvador,SLV,PAHO,LOW,0.68,4.12
San Marino,SMR,EURO,HIGH,,6.67
Somalia,SOM,EMRO,LOW,,. . .
Serbia ,SRB,EURO,MIDDLE,0.776,5.38
S. Sudan,SSD,EMRO,LOW,0.418,7.95
Sao Tome and Principe,STP,AFRO,MIDDLE,0.574,1.79
Suriname,SUR,PAHO,MIDDLE,0.725,5.54
Slovakia,SVK,EURO,HIGH,0.845,6.49
Slovenia,SVN,EURO,HIGH,0.89,5.85
Sweden,SWE,EURO,HIGH,0.913,7.21
Swaziland,SWZ,AFRO,MIDDLE,0.541,7.26
Seychelles,SYC,AFRO,HIGH,0.782,14.49
Syrian Arab Rep. ,SYR,EMRO,MIDDLE,0.536,. . .
Chad,TCD,AFRO,LOW,0.396,3.72
Togo,TGO,AFRO,LOW,0.487,2.19
Thailand,THA,SEARO,MIDDLE,0.74,7.08
Tajikistan,TJK,EURO,MIDDLE,0.627,2.69
Turkmenistan,TKM,EURO,MIDDLE,0.692,14.06
Timor-Leste,TLS,SEARO,MIDDLE,0.606,2.98
Tonga,TON,WPRO,MIDDLE,0.721,7.46
Trinidad and Tobago,TTO,PAHO,HIGH,0.78,7.48
Tunisia,TUN,EMRO,MIDDLE,0.725,3.67
Turkey,TUR,EURO,MIDDLE,0.767,10.26
Tuvalu,TUV,WPRO,MIDDLE,,2.95
United Republic of Tanzania,TZA,AFRO,LOW,0.531,4.4
Uganda,UGA,AFRO,LOW,0.493,2.44
Ukraine,UKR,EURO,MIDDLE,0.743,2.25
Uruguay,URY,PAHO,HIGH,0.795,5.01
United States of America,USA,PAHO,HIGH,0.92,6.43
Uzbekistan,UZB,EURO,MIDDLE,0.701,3.1
St. Vincent and the Grenadines,VCT,PAHO,MIDDLE,0.722,3.6
Venezuela ,VEN,PAHO,MIDDLE,0.767,22.12
Viet Nam,VNM,WPRO,MIDDLE,0.683,2.61
Vanuatu,VUT,WPRO,MIDDLE,0.597,6.09
Samoa,WSM,WPRO,MIDDLE,0.704,5.96
Yemen,YEM,EMRO,MIDDLE,0.482,3.16
S. Africa,ZAF,AFRO,MIDDLE,0.666,5.68
Zambia,ZMB,AFRO,MIDDLE,0.579,4.81
Zimbabwe,ZWE,AFRO,LOW,0.516,3.49
,,,,,
,,,,,
,,,,,
